ID,Mutex - #clusters,Mutex - average cluster size,Mutex - % correct clusters,Mutex - % features in a correct cluster,Xor - #clusters,Xor - average cluster size,Xor - % correct clusters,Xor - % features in a correct cluster,Or - #clusters,Or - average cluster size,Or - % correct clusters,Or - % features in a correct cluster,All - #clusters,All - average cluster size,All - % correct clusters,All - % features in a correct cluster
model_20130116_382639902,3,2.3333333333333335,1.0,0.22580645161290322,4,2.0,0.75,0.1935483870967742,3,2.0,0.3333333333333333,0.06451612903225806,10,2.1,0.7,0.4838709677419355
connector_fm,1,2.0,1.0,0.1,7,2.0,0.7142857142857143,0.5,1,2.0,1.0,0.1,9,2.0,0.7777777777777778,0.7
model_20110519_1142211980,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0
model_20091109_376438407,0,0,N/A,0,1,2.0,1.0,0.09090909090909091,2,2.0,1.0,0.18181818181818182,3,2.0,1.0,0.2727272727272727
model_20130125_189285641,0,0,N/A,0,0,0,N/A,0,1,2.0,1.0,0.1111111111111111,1,2.0,1.0,0.1111111111111111
movies_app_fm,0,0,N/A,0,4,2.0,0.75,0.46153846153846156,0,0,N/A,0,4,2.0,0.75,0.46153846153846156
model_20100216_713947806,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0
model_20131129_2135897376,1,2.0,0.0,0.0,1,3.0,1.0,0.3,1,2.0,1.0,0.2,3,2.3333333333333335,0.6666666666666666,0.5
model_20130305_204544380,0,0,N/A,0,2,2.0,1.0,0.3076923076923077,2,2.0,1.0,0.3076923076923077,4,2.0,1.0,0.6153846153846154
cfdp_library_fm,0,0,N/A,0,0,0,N/A,0,1,4.0,1.0,0.3076923076923077,1,4.0,1.0,0.3076923076923077
model_20130422_1348727660,0,0,N/A,0,3,2.0,1.0,0.3157894736842105,2,3.5,1.0,0.3684210526315789,5,2.6,1.0,0.6842105263157895
model_20120528_1294065815,1,2.0,1.0,0.15384615384615385,0,0,N/A,0,0,0,N/A,0,1,2.0,1.0,0.15384615384615385
model_20120113_1950870026,0,0,N/A,0,1,2.0,1.0,0.2,1,3.0,0.0,0.0,2,2.5,0.5,0.2
REAL-FM-8,0,0,N/A,0,1,2.0,1.0,0.11764705882352941,1,3.0,1.0,0.17647058823529413,2,2.5,1.0,0.29411764705882354
model_20120822_650185552,0,0,N/A,0,10,2.8,0.4,0.4,2,2.0,0.0,0.0,12,2.6666666666666665,0.3333333333333333,0.4
model_20101120_2091447559,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0
model_20120722_2065280700,0,0,N/A,0,3,2.6666666666666665,1.0,0.6153846153846154,1,3.0,1.0,0.23076923076923078,4,2.75,1.0,0.8461538461538461
model_20111214_733452875,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0
model_20130115_768867592,0,0,N/A,0,3,2.0,1.0,0.5454545454545454,0,0,N/A,0,3,2.0,1.0,0.5454545454545454
