Stats on input FMs
"","mean","median","min","max"
"Levenshtein (Simmetrics) - #clusters",14.0333333333333,13,6,29
"Levenshtein (Simmetrics) - average cluster size",2.72276608528418,2.79144385026738,2,4.16666666666667
"Levenshtein (Simmetrics) - % correct clusters",0.759302679948191,0.827380952380952,0.315789473684211,1
"Levenshtein (Simmetrics) - % features in a correct cluster",0.410312605096453,0.412445278298937,0.1875,0.666666666666667
"Wu & Palmer (WordNet) - #clusters",4.8,5,1,11
"Wu & Palmer (WordNet) - average cluster size",2.48992664742665,2.36666666666667,2,3.85714285714286
"Wu & Palmer (WordNet) - % correct clusters",0.733270803270803,0.763888888888889,0,1
"Wu & Palmer (WordNet) - % features in a correct cluster",0.12797826495232,0.12390350877193,0,0.38
"Path Length (WordNet) - #clusters",7.6,6.5,1,18
"Path Length (WordNet) - average cluster size",2.51677424971543,2.33333333333333,2,4.4
"Path Length (WordNet) - % correct clusters",0.892283555224732,0.895833333333333,0.6,1
"Path Length (WordNet) - % features in a correct cluster",0.227130768760617,0.232051282051282,0.0833333333333333,0.444444444444444
"Wikipedia Miner metric (db_wikipedia) - #clusters",7.13333333333333,6,1,18
"Wikipedia Miner metric (db_wikipedia) - average cluster size",4.43164502164502,3.79166666666667,2.28571428571429,12
"Wikipedia Miner metric (db_wikipedia) - % correct clusters",0.723598484848485,0.8,0,1
"Wikipedia Miner metric (db_wikipedia) - % features in a correct cluster",0.242065565348914,0.213990461049285,0,0.491228070175439
"Wikipedia Miner metric (db_wiktionary) - #clusters",9.76666666666667,9,2,26
"Wikipedia Miner metric (db_wiktionary) - average cluster size",2.90613503646112,2.67424242424242,2,6.14285714285714
"Wikipedia Miner metric (db_wiktionary) - % correct clusters",0.856560219168915,0.894444444444444,0.5,1
"Wikipedia Miner metric (db_wiktionary) - % features in a correct cluster",0.321678289177236,0.319040697674419,0.0833333333333333,0.615384615384615
"Transitive reduction metric - #clusters",3.96666666666667,3.5,1,13
"Transitive reduction metric - average cluster size",2.79393060643061,2.96153846153846,2.33333333333333,3
"Transitive reduction metric - % correct clusters",0.568692511192511,0.708333333333333,0,1
"Transitive reduction metric - % features in a correct cluster",0.0930061127489121,0.0907599781301257,0,0.228070175438596

Clusters on reduced BIG (random)
"","mean","median","min","max"
"run",499.5,499.5,0,999
"Random - #clusters",12.8585666666667,12,0,35
"Random - average cluster size",2.17818936304924,2.16666666666667,0,4
"Random - % correct clusters",0.367286237352603,0.285714285714286,0,1
"Random - % features in a correct cluster",0.123436134630133,0.105263157894737,0,0.625

Cliques
"","mean","median","min","max"
"#clusters",1.36666666666667,1,1,6
"average cluster size",6.96666666666667,6,2,23
"% correct clusters",0.311111111111111,0,0,1
"% features in a correct cluster",0.033851088075517,0,0,0.564516129032258
"% connected cliques in hierarchy",0.988888888888889,1,0.666666666666667,1
"% simple unfolding",0.3,0,0,1
"% features in simple unfolding",0.0263242063550869,0,0,0.338709677419355

Feature groups
"","mean","median","min","max"
"Mutex - #clusters",45.2,7.5,0,735
"Mutex - average cluster size",5.56373982320201,4.54821428571429,0,18.5
"Mutex - % correct clusters",0.915246913580247,1,0,1
"Mutex - % features in a correct cluster",0.532438272810411,0.531405782652044,0,1.70434782608696
"Xor - #clusters",17.8333333333333,1,0,329
"Xor - average cluster size",5.45993552546744,5,0,23
"Xor - % correct clusters",0.911159118122368,1,0.0151975683890578,1
"Xor - % features in a correct cluster",0.155997974396013,0.12157382847038,0,0.58974358974359
"Or - #clusters",0,0,0,0
"Or - average cluster size",0,0,0,0
"Or - % correct clusters",NA,NA,Inf,-Inf
"Or - % features in a correct cluster",0,0,0,0
"All - #clusters",55.7,8,0,900
"All - average cluster size",5.74250122237335,5,0,18.5
"All - % correct clusters",0.922025104663785,1,0.00555555555555556,1
"All - % features in a correct cluster",0.60689946825902,0.6067977915804,0,1.70434782608696

Feature groups on reduced BIG
"","mean","median","min","max"
"Mutex - #clusters",8.43333333333333,5,0,50
"Mutex - average cluster size",5.29275301199385,3.9025,0,15.8
"Mutex - % correct clusters",1,1,1,1
"Mutex - % features in a correct cluster",0.459558867303947,0.407175636211932,0,1.6
"Xor - #clusters",1.96666666666667,1,0,15
"Xor - average cluster size",5.81444444444444,5,0,23
"Xor - % correct clusters",1,1,1,1
